ID,Category,Name,Amount,Price,Note
PL0001,Action,Naruto,275,200,-
NZ0001,Action,JoJo's Bizarre Adventure Phantom Blood,290,150,-
JJ0001,Action,Attack on titan,299,500,-
NZ0002,Action,My Hero Acadamia,285,70,-
JJ0002,Action,Fullmetal alchemist,9,70,-
NZ0003,Action,Toriko,2,90,-
VW0001,Action,Dragon Ball,289,70,-
JJ0003,Comedy,One punch man,7,70,-
VW0002,Action,Dragon Ball Super,300,70,-
JJ0004,Action,Berserk,300,150,-
JJ0005,Action,Vinland saga,290,150,-
JJ0006,Action,Hunter x Hunter,300,70,-
NZ0004,Action,JoJo's Stardust Crusader,300,150,-
NZ0005,Comedy,Assasination Classroom,300,70,-
PL0002,Comedy,Gintama,290,60,-
PL0003,Romance,Your Lie in April,298,150,-
PL0004,Sports,Haikyuu,298,70,-
VW0003,Sports,Hajime no Ippo,280,70,-
VW0004,Comedy,Saiki Kusuo no Psi Nan,300,70,-
JJ0007,Fantasy,Goblin Slayer,300,150,-
NZ0006,Romance,The Quintessential Quintuplets,300,70,-
NZ0007,Fantasy,Sword Art Online,300,90,-
NZ0008,Action,Onepiece,300,70,-
BK0001,Romance,Komi Can't Communicate,292,70,-
PL0005,Action,Shangri-La Frontier,298,70,-
BK0002,Romance,My Dress-Up Darling,298,70,-
PL0006,Action,Naruto: Shippuden,300,70,-
BK0003,Romance,Horimiya,10,90,-
VW0005,Fantasy,Overlord,300,70,-
BK0004,Romance,Wotakoi,290,70,-
NZ0009,Comedy,SpyXFamily,300,90,-
VW0006,Comedy,Daily Lives of High School Boys,300,70,-
JJ0008,Sports,Blue Lock,300,90,-
BK0005,Romance,Kaguya-Sama: Love Is War,290,90,-
PL0007,Fantasy,Noragami,300,70,-
BK0006,Fantasy,Reincarnated as a Sword,300,70,-
BK0007,Comedy,Gokushufudo,300,90,-
JJ0009,Comedy,Mashle,290,70,-
EX0001,Comedy,Example,290,70,-
JJ0010,Romance,Kubo won't let me be invisible,300,70,-
JJ0011,Fantasy,Food wars,300,70,-
JJ0012,Sports,Kuroko's Basketball,300,70,-
JJ0013,Romance,Alya Sometimes Hides Her Feelings in Russian,300,90,-
PL0008,Romance,Kimi no Na wa (Your Name),300,150,-
JJ0014,Comedy,Grand blue Dreaming,300,70,-
BK0008,Fantasy,Omniscient reader's viewpoint,300,150,-
BK0009,Fantasy,Solo leveling,300,150,-
JJ0015,Romance,More Than a Married Couple But Not Lovers,100,70,-
